1	6 Mar 26	11:39:00	1	0	0	0	0	0	1	142	55	137	54	90	114	124	119	119	118	255	320	169	404	181	224	111	92	147	146	188	112	40	76	161	106	100	124	81	120	108	122
2	6 Mar 26	11:40:00	1	0	0	0	0	0	0	10	3	8	0	6	4	4	1	0	1	7	1	3	11	4	5	5	4	2	3	4	3	6	9	2	9	7	3	6	4	6	11
3	6 Mar 26	11:41:00	1	0	0	0	0	0	0	13	3	6	0	4	2	4	6	0	2	7	18	2	3	3	11	0	4	7	5	5	2	6	8	6	9	3	4	4	3	0	7
4	6 Mar 26	11:42:00	1	0	0	0	0	0	0	10	3	4	0	3	0	6	4	3	1	11	7	5	11	7	3	0	7	4	4	5	4	7	12	5	7	5	2	5	6	2	7
5	6 Mar 26	11:43:00	1	0	0	0	0	0	0	5	2	7	0	2	3	5	4	0	5	8	7	1	10	8	6	0	4	4	4	9	3	4	12	4	8	3	20	6	3	1	4
6	6 Mar 26	11:44:00	1	0	0	0	0	0	0	5	0	4	0	6	3	5	7	0	0	6	2	3	13	7	5	0	13	3	3	5	0	9	5	7	8	1	0	4	5	14	6
7	6 Mar 26	11:45:00	1	0	0	0	0	0	0	12	0	6	0	4	13	6	4	0	0	7	5	5	12	7	14	0	4	7	3	5	6	3	7	3	8	0	5	6	8	0	4
8	6 Mar 26	11:46:00	1	0	0	0	0	0	0	10	0	3	2	4	9	4	6	0	1	6	4	2	3	3	8	0	12	4	2	6	2	2	13	5	3	4	1	4	4	3	6
9	6 Mar 26	11:47:00	1	0	0	0	0	0	0	6	0	0	1	6	18	3	5	0	0	8	0	3	5	10	9	0	7	4	4	10	1	10	12	3	12	3	0	3	8	4	7
10	6 Mar 26	11:48:00	1	0	0	0	0	0	0	7	0	3	0	1	11	4	7	0	0	0	0	4	3	10	3	0	7	6	6	6	3	1	11	3	10	5	0	2	7	3	4
11	6 Mar 26	11:49:00	1	0	0	0	0	0	0	4	0	5	0	1	10	6	4	0	1	2	0	5	1	1	4	0	8	5	5	7	3	7	5	1	2	6	0	2	5	2	7
12	6 Mar 26	11:50:00	1	0	0	0	0	0	0	4	0	3	0	4	12	3	4	0	0	0	0	0	4	12	9	0	8	0	2	4	3	5	10	3	5	3	0	5	0	5	2
13	6 Mar 26	11:51:00	1	0	0	0	0	0	0	8	0	1	0	2	9	0	2	0	0	1	0	0	6	7	4	0	7	5	1	5	3	3	4	2	4	3	0	0	4	3	3
14	6 Mar 26	11:52:00	1	0	0	0	0	0	0	6	0	1	0	3	11	4	4	0	0	1	7	0	2	6	5	0	6	4	2	4	0	10	6	4	3	2	0	3	3	4	1
15	6 Mar 26	11:53:00	1	0	0	0	0	0	0	4	0	2	0	3	8	1	7	0	1	1	0	0	5	3	2	0	5	10	4	7	3	5	5	2	0	2	0	1	0	7	5
16	6 Mar 26	11:54:00	1	0	0	0	0	0	0	8	0	2	0	0	12	0	8	0	1	0	0	5	0	7	0	0	4	4	6	3	4	0	5	3	13	6	0	2	0	6	4
17	6 Mar 26	11:55:00	1	0	0	0	0	0	0	6	0	8	0	1	9	2	4	0	1	0	0	2	8	3	5	0	5	6	0	8	1	1	5	3	6	4	0	2	0	9	1
18	6 Mar 26	11:56:00	1	0	0	0	0	0	0	4	0	0	0	0	12	2	3	0	0	1	0	4	11	3	2	0	7	4	0	6	2	4	6	2	3	5	2	4	0	2	7
19	6 Mar 26	11:57:00	1	0	0	0	0	0	0	6	0	0	0	0	3	3	10	0	0	0	2	7	7	1	1	0	7	5	1	4	1	6	5	2	6	0	0	0	7	1	5
20	6 Mar 26	11:58:00	1	0	0	0	0	0	0	6	0	0	0	0	12	4	5	0	0	5	0	4	3	1	5	0	4	0	1	4	1	3	6	1	1	2	0	3	1	4	4
21	6 Mar 26	11:59:00	1	0	0	0	0	0	0	4	0	0	0	0	6	4	9	0	0	16	0	6	7	4	3	0	5	0	5	6	3	2	1	3	1	7	0	0	2	8	0
22	6 Mar 26	12:00:00	1	0	0	0	0	0	0	3	0	0	0	0	7	3	6	0	0	2	0	7	6	8	1	0	8	0	2	5	3	1	12	2	3	1	0	0	0	3	2
23	6 Mar 26	12:01:00	1	0	0	0	0	0	0	5	0	0	0	0	9	0	2	0	1	3	0	2	6	1	0	0	7	0	1	8	4	3	0	2	1	2	0	0	0	3	2
24	6 Mar 26	12:02:00	1	0	0	0	0	0	0	5	0	0	0	0	6	1	3	0	0	0	0	4	4	0	0	0	8	0	0	3	0	7	5	2	0	5	0	1	0	5	2
25	6 Mar 26	12:03:00	1	0	0	0	0	0	0	3	0	0	0	0	6	0	6	0	0	1	0	3	7	0	0	0	7	0	1	5	3	7	0	3	2	2	0	1	0	4	2
